5,6,11,11,18,14,10,2,6,10,3
5,6,6,16,24,10,12,21,27,30,53
5,17,32,53,55,63,53,33,39,41,29
5,26,34,28,27,30,17,20,15,14,20
5,9,20,14,19,27,24,52,51,41,27
5,5,15,35,58,68,62,74,103,121,119
5,6,6,16,44,47,30,16,15,15,15
5,1,13,18,14,4,22,28,39,37,30
5,7,4,6,5,17,7,20,19,15,20
5,17,23,35,40,52,69,49,47,45,42
5,8,6,13,19,19,40,46,35,25,23
5,22,40,71,69,57,55,30,33,30,33
5,10,21,35,38,24,30,7,3,5,9
5,8,16,10,12,11,15,40,43,55,68
5,14,22,18,19,20,16,27,23,12,23
5,5,21,47,44,52,46,28,24,9,6
5,8,7,12,15,12,15,13,8,9,3
5,5,3,3,4,7,6,15,14,13,4
5,19,19,13,12,8,8,9,11,17,8
5,2,5,11,13,33,50,44,50,67,87
5,8,15,13,20,8,11,14,12,13,13
5,9,23,43,40,35,39,38,39,50,20
5,8,9,16,19,7,4,5,6,4,1
5,15,21,12,27,33,20,21,28,24,16
5,16,14,17,24,29,22,26,29,31,22
5,5,4,4,7,3,8,13,19,36,38
5,14,18,15,15,22,22,17,14,29,12
5,5,19,9,7,14,29,29,43,40,57
5,3,11,15,24,31,20,23,12,24,13
5,16,30,22,23,13,13,20,15,11,11
5,8,22,28,35,31,18,28,17,10,5
5,7,16,16,30,43,74,91,70,91,68
5,21,25,19,22,26,10,20,14,5,2
5,8,30,25,17,13,12,15,18,18,13
5,5,10,26,28,33,41,38,33,14,8
5,4,9,9,20,33,43,39,16,19,18
5,27,34,42,39,36,29,45,60,69,61
5,9,6,7,21,24,22,39,36,32,24
5,2,21,34,48,53,73,61,44,26,17
5,21,27,30,16,8,15,7,6,16,18
5,12,28,33,43,32,43,35,9,9,20
5,2,3,10,13,13,24,44,22,7,3
5,9,14,33,43,51,39,36,44,27,24
5,7,13,7,20,24,24,64,84,101,82
5,6,11,22,38,77,89,137,148,142,102
5,6,9,23,13,21,13,5,3,4,4
5,23,26,21,23,26,14,12,22,40,48
5,16,22,21,8,3,7,2,8,3,3
5,14,22,26,25,26,26,23,38,25,14
5,8,12,12,26,11,11,17,20,6,8
5,15,21,16,6,4,6,13,12,21,16
5,9,11,16,12,12,9,6,6,12,8
5,20,10,11,9,15,27,15,17,10,6
5,5,7,2,3,6,15,60,56,80,73
5,13,19,28,41,59,55,40,29,24,17
5,8,6,7,5,3,10,33,26,16,20
5,12,16,16,16,12,14,14,15,5,4
5,13,22,30,44,54,64,104,114,85,102
5,7,3,3,2,9,3,6,7,1,5
5,14,15,28,18,13,16,19,10,15,24
5,1,4,5,4,12,7,27,42,39,29
5,7,20,33,47,53,47,64,62,36,23
5,6,9,14,23,50,40,24,31,22,44
5,9,8,7,13,21,18,18,23,45,57
5,11,22,27,46,63,48,55,39,24,31
5,2,6,5,8,14,13,11,15,19,25
5,4,7,10,15,23,22,12,14,12,5
5,15,24,35,49,56,71,71,58,37,37
5,13,18,41,55,70,60,45,41,72,66
5,13,27,37,54,65,54,56,61,33,21
5,3,12,19,14,22,26,15,9,4,28
5,6,9,10,3,5,4,11,10,8,10
5,15,33,59,92,128,156,126,101,119,185
5,7,7,13,16,20,22,31,35,42,24
5,6,19,41,67,89,81,72,56,69,64
5,4,6,11,8,10,4,12,16,23,23
5,12,27,47,59,50,44,65,53,66,51
5,5,10,6,7,18,19,19,29,17,9
5,6,19,22,29,22,9,12,22,14,15
5,12,6,15,24,27,25,11,18,24,18
5,10,2,3,3,10,18,14,21,10,14
5,26,34,25,22,33,30,21,24,23,24
5,7,18,9,19,11,22,22,19,11,14
5,7,17,21,15,24,30,27,26,22,13
5,3,4,15,19,5,8,14,6,2,3
5,11,18,20,20,28,14,5,9,7,7
5,11,21,24,42,37,24,17,11,12,31
5,9,11,20,26,30,47,9,19,22,11
5,10,12,18,15,21,40,41,43,35,48
5,15,26,34,24,14,23,31,22,30,57
5,32,30,16,18,29,44,29,21,20,24
5,8,24,24,18,17,20,20,31,31,16
5,9,5,7,11,12,12,9,14,9,6
5,9,9,13,27,19,40,44,49,40,63
5,6,12,30,26,12,15,24,27,10,1
5,10,14,30,53,69,76,69,100,136,128
5,8,13,12,9,25,26,27,36,45,64
5,23,25,44,64,40,30,24,26,18,18
5,6,29,32,27,15,39,30,33,20,2
5,5,6,18,21,16,18,23,22,21,10
5,3,4,12,5,19,36,56,65,61,47
5,13,13,24,27,44,41,23,11,18,19
5,15,16,39,37,35,37,40,67,87,84
5,12,8,15,30,39,31,25,33,37,40
5,14,14,13,24,25,31,8,8,15,4
5,10,21,28,35,14,6,6,10,34,47
5,7,9,6,3,7,28,18,20,14,10
5,5,18,40,55,47,39,58,51,55,97
5,9,8,17,25,11,7,12,15,7,12
5,10,7,18,47,57,30,24,48,52,82
5,18,35,47,54,46,51,39,65,57,92
5,5,14,13,5,5,9,4,5,4,6
5,16,18,24,34,38,85,116,114,85,100
5,6,12,38,55,39,44,63,104,103,122
5,15,23,26,40,73,63,54,49,32,43
5,19,27,36,20,12,23,33,37,44,41
5,14,19,16,22,14,15,15,18,28,17
5,16,31,25,27,59,75,56,59,32,39
5,3,10,17,22,28,25,44,55,91,72
5,11,37,44,39,32,32,40,38,54,82
5,15,10,2,5,10,8,4,5,4,2
5,5,32,57,60,53,48,41,22,20,28
5,12,54,56,54,28,13,32,40,57,61
5,4,6,14,20,30,33,44,48,50,44
5,3,4,3,3,20,18,22,21,9,13
5,12,17,24,18,18,17,29,43,44,27
5,5,7,11,11,7,8,26,14,13,10
5,11,4,7,6,15,10,10,10,12,13
5,5,9,4,9,20,34,49,46,47,54
5,17,17,32,46,61,43,42,33,24,17
5,9,20,52,58,28,38,28,48,36,11
5,14,15,25,34,51,71,64,38,33,48
5,18,22,29,51,52,36,49,59,49,76
5,6,12,12,14,17,40,36,37,24,13
5,12,9,9,7,13,12,7,6,9,6
5,10,33,29,51,56,60,32,18,13,8
5,16,13,26,22,34,48,48,57,58,53
5,7,21,29,34,37,45,46,47,43,36
5,8,12,7,7,4,2,8,8,18,19
5,21,15,24,38,48,45,41,31,10,2
5,6,13,26,36,20,8,24,41,55,66
5,18,27,18,12,15,20,46,64,46,34
5,6,13,12,22,40,17,7,13,22,66
5,7,25,44,24,24,30,30,12,5,15
5,14,56,73,78,80,66,55,54,36,40
5,7,19,18,33,34,26,43,59,60,86
5,6,10,23,31,24,8,9,13,12,9
5,6,11,27,44,25,31,22,9,13,18
5,3,4,5,10,6,7,7,17,27,68
5,8,16,48,71,88,73,86,90,78,98
5,15,27,15,24,48,49,45,62,61,59
5,19,13,17,37,50,40,37,51,38,36
5,10,6,18,35,30,45,60,72,55,50
5,10,21,14,10,5,6,9,9,6,4
5,17,34,29,37,57,65,34,35,29,28
5,6,7,18,19,36,29,22,14,21,22
5,26,67,77,74,62,31,38,16,30,43
5,10,13,5,12,40,20,22,13,13,25
5,19,31,44,47,47,57,53,54,46,39
5,2,4,8,23,15,18,31,42,35,59
5,3,2,4,9,22,13,6,2,2,6
5,16,9,14,20,28,20,12,17,13,19
5,17,12,18,8,10,4,8,12,17,23
5,8,4,6,7,12,19,25,26,8,2
5,10,11,20,19,27,27,49,57,43,42
5,25,26,31,29,13,11,24,28,43,45
5,14,23,19,19,35,44,46,71,103,105
5,13,13,44,44,37,58,63,27,14,4
5,4,7,21,35,30,41,45,73,112,92
5,12,18,20,18,14,24,31,47,42,69
5,31,31,19,20,14,20,14,31,18,9
5,9,28,20,27,46,52,56,53,83,72
5,8,11,6,5,10,14,37,15,17,4
5,6,10,16,34,24,8,9,4,11,19
5,12,15,12,5,21,43,39,42,36,45
5,5,11,12,18,47,48,61,65,55,37
5,6,5,15,4,2,8,15,25,52,45
5,15,26,29,28,36,35,28,27,20,22
5,7,25,40,22,42,39,33,66,101,82
5,3,3,5,7,27,52,65,58,27,18
5,8,16,22,24,57,76,80,86,121,158
5,10,34,20,45,48,46,29,27,25,46
5,7,12,27,17,29,35,25,20,20,17
5,6,15,7,15,42,53,52,42,70,56
5,13,14,15,19,12,31,29,41,29,38
5,11,15,11,21,18,20,33,21,27,17
5,21,12,13,11,26,28,69,74,75,75
5,5,8,12,11,22,59,79,87,121,133
5,7,11,30,50,98,78,87,80,69,63
5,13,35,40,31,61,97,134,119,131,181
5,11,4,3,19,39,31,36,43,46,72
5,11,22,36,34,12,1,5,5,6,1
5,14,15,25,23,33,42,30,33,26,23
5,2,3,6,9,6,8,23,14,7,4
5,5,8,34,93,96,95,104,86,93,75
5,20,44,63,57,70,79,93,94,89,106
5,4,23,19,19,18,3,6,9,6,9
5,12,10,13,33,32,20,41,39,44,45
5,24,36,42,44,70,56,62,45,49,51
5,9,5,15,15,13,14,14,8,12,3
5,6,9,17,10,14,22,27,30,16,18
5,20,26,25,24,20,27,11,15,27,30
5,15,16,14,16,12,7,9,17,10,13
5,11,14,4,7,11,10,20,9,20,28
5,15,28,29,34,44,26,37,32,15,20
5,13,22,24,47,71,60,28,20,16,16
5,15,20,27,36,51,59,58,54,58,22
5,9,8,8,8,6,6,16,7,11,17
5,22,24,21,21,20,14,20,5,8,19
5,7,16,24,41,52,44,41,45,38,25
5,4,6,23,37,22,19,34,21,24,13
5,3,4,1,14,12,6,16,16,18,43
5,6,8,18,31,8,11,8,13,14,8
5,11,11,20,17,24,17,14,24,20,22
5,6,20,25,19,17,9,5,8,1,2
5,10,27,52,52,45,40,46,39,49,22
5,17,32,38,72,52,45,59,63,77,102
5,9,15,18,25,20,12,15,16,25,40
5,15,19,23,34,32,33,41,51,66,74
5,15,17,37,40,29,20,14,12,6,12
5,22,32,37,55,75,98,102,109,68,58
5,5,13,32,46,51,52,36,39,32,47
5,13,31,22,23,19,22,20,16,6,6
5,16,22,20,26,29,47,20,11,9,4
5,9,12,21,29,49,72,77,75,66,43
5,5,10,32,28,28,27,17,11,6,12
5,8,6,10,16,15,13,5,14,25,15
5,5,6,10,7,21,9,14,22,34,25
5,5,7,2,11,21,26,21,45,48,56
5,33,47,43,42,40,33,19,4,7,4
5,4,8,6,10,26,42,50,48,35,50
5,17,32,46,35,18,16,17,27,68,110
5,20,21,23,29,13,3,4,8,5,1
5,24,19,9,20,29,35,62,75,64,80
5,5,10,8,7,9,17,20,30,18,15
5,12,24,40,18,15,8,8,6,8,1
5,16,24,45,24,14,21,21,15,21,36
5,4,7,7,15,21,36,17,16,9,6
5,8,22,36,18,12,17,11,17,15,8
5,5,8,6,2,10,16,32,40,42,56
5,11,14,8,43,34,33,39,40,39,28
5,6,10,31,12,17,35,43,44,49,52
5,15,16,23,33,23,40,80,97,79,47
5,17,12,13,19,21,35,47,53,48,48
5,15,22,27,37,44,36,43,52,39,14
5,18,18,22,29,9,13,23,15,5,3
5,3,15,19,5,6,9,9,13,13,28
5,37,51,39,46,62,45,47,49,43,41
5,13,24,33,22,30,26,17,32,35,47
5,14,35,42,56,55,91,76,61,33,41
5,8,5,3,5,8,23,12,45,54,44
5,5,16,21,21,26,37,26,14,10,11
5,1,4,6,25,49,46,47,58,73,64
5,12,29,16,25,13,21,23,31,53,59
5,17,38,54,71,68,82,99,116,128,102
5,7,15,19,40,36,36,36,45,34,43
5,9,13,21,25,27,38,36,36,42,58
5,5,8,26,25,10,10,13,16,10,23
5,18,29,32,33,7,10,16,31,14,30
5,8,6,11,25,37,31,20,29,44,26
5,12,21,36,71,35,17,5,6,23,14
5,17,33,46,55,40,27,17,5,15,30
5,10,30,17,10,16,9,11,31,15,7
5,8,10,12,12,25,44,25,15,13,7
5,16,10,16,15,17,12,16,30,51,54
5,7,2,11,4,11,7,7,9,15,12
5,24,64,112,120,138,85,56,47,43,59
5,5,11,8,12,9,31,25,33,67,40
5,10,9,6,12,10,21,31,40,49,47
5,4,15,10,32,50,66,56,71,65,75
5,6,22,37,42,41,46,45,34,22,33
5,13,16,20,12,22,10,10,16,17,18
5,8,8,21,14,19,8,10,15,13,20
5,4,12,22,24,34,23,15,7,8,4
5,22,28,31,40,18,38,22,23,4,1
5,10,16,25,31,45,34,25,15,14,33
5,12,13,11,27,9,17,18,13,6,4
5,9,22,22,33,65,75,91,92,97,105
5,6,18,20,24,34,59,75,75,90,100
5,3,13,19,20,25,36,45,28,14,7
5,7,16,7,4,20,29,11,6,11,10
5,7,5,11,15,3,15,15,16,14,19
5,21,18,29,32,47,46,25,31,9,13
5,11,15,15,23,32,43,40,57,80,71
5,10,5,8,11,25,37,35,42,65,39
5,8,10,22,42,54,53,41,57,31,46
5,9,10,8,8,8,2,6,12,10,15
5,11,14,18,28,26,45,44,46,50,49
5,8,8,9,16,12,12,11,18,11,9
5,14,38,27,40,21,27,31,24,38,44
5,7,7,14,18,32,66,58,29,34,36
5,8,13,40,62,64,64,43,8,3,12
5,18,30,34,66,54,65,64,46,20,14
5,6,27,24,16,20,21,17,11,18,7
5,9,12,9,20,18,26,26,23,19,14
5,2,14,3,14,15,24,11,14,19,18
5,20,23,45,44,60,77,75,66,53,49
5,11,4,10,14,12,32,37,35,26,23
5,12,28,36,36,35,38,70,50,57,60
5,6,12,11,14,40,42,53,70,49,37
5,8,6,32,24,14,27,31,52,34,29
5,11,17,17,25,33,48,67,80,65,45
5,2,7,17,31,29,27,16,2,6,7
5,7,16,13,15,6,9,11,25,19,26
5,28,36,31,33,56,62,61,61,30,13
5,16,14,40,39,34,37,75,111,103,150
5,12,18,26,24,27,29,26,17,20,25
5,8,19,22,12,20,11,18,26,25,20
5,8,4,11,29,29,65,78,91,80,105
5,6,18,17,19,42,62,48,68,72,80
5,4,11,32,45,44,27,51,85,81,67
5,20,24,25,16,9,13,12,13,19,26
5,7,4,7,14,13,11,15,14,21,28
5,6,17,35,33,26,31,33,22,28,31
5,6,17,23,19,31,28,5,5,6,16
5,11,5,4,13,12,28,39,35,24,34
5,4,4,5,12,19,17,7,16,14,12
5,10,17,40,75,83,86,104,117,138,160
5,6,13,13,11,17,30,20,26,32,26
5,16,30,33,26,11,19,4,7,18,41
5,11,12,7,7,25,40,34,26,30,28
5,13,15,24,24,49,52,54,75,76,106
5,7,5,4,14,15,10,18,31,34,10
5,6,9,9,18,32,23,41,25,14,21
5,9,25,40,54,36,44,35,47,55,29
5,26,45,33,41,61,81,66,78,109,128
5,17,22,31,33,36,43,51,48,49,12
5,7,12,13,13,13,16,12,12,10,2
5,8,11,17,11,13,8,7,10,11,7
5,8,13,11,11,12,15,12,17,20,12
